物件名,築年数,専有面積
メゾンド東中野,41,18.0
ＪＲ総武線 大久保駅 4階建 築39年,39,23.5
JLBグランエクリュ三田II,46,77.2
都営三田線 千石駅 3階建 築6年,6,102.04
本駒込戸建,6,102.04
都営三田線 千石駅 3階建 築6年,6,102.04
本駒込戸建,6,102.04
東京メトロ千代田線 根津駅 5階建 築8年,8,46.68
エルスタンザ目白,31,14.85
ヴェルフォーレ・W,36,22.95
Ｈ　ｄｕｒ,1,52.17
東京メトロ有楽町線 江戸川橋駅 4階建 築37年,37,83.32
東京メトロ東西線 早稲田駅 5階建 築46年,46,20.0
ライオンズマンション歌舞伎町,45,17.71
ＪＲ山手線 高田馬場駅 2階建 築48年,48,21.45
東京メトロ千代田線 湯島駅 15階建 築5年,5,70.11
ザ・パームス代々木上原2,27,122.9
ハイツ西早稲田,36,14.58
東京メトロ千代田線 湯島駅 15階建 築5年,5,70.11
メゾン・ド・ラリエ,42,14.0
JLBグランエクリュ三田II,46,77.2
ザ・パークハウス小石川春日,14,58.76
ヴェラハイツ早稲田,41,29.75
東京メトロ千代田線 湯島駅 10階建 築6年,6,64.65
都営大江戸線 春日駅 14階建 築2年,2,66.6
サンハイツ神楽坂,47,20.1
千石2丁目メゾネットハウス,22,122.0
神宮前3丁目ハウス,23,256.29
グランモンテ,7,42.48
牛込神楽坂駅前ビル,55,28.48
赤坂7丁目貸戸建,5,133.72
東急東横線 代官山駅 地下1地上4階建 築5年,5,102.06
都営大江戸線 春日駅 3階建 築4年,4,63.96
三田鈴木ビル,47,24.0
矢来町戸建,15,164.49
アーベント幡ヶ谷,20,30.0
GSハイム麻布十番東山,41,17.63
石田アパート,58,20.0
テラス関口台,37,103.91
オープンレジデンシア文京本郷台,5,70.11
西麻布Ｂ・Ｇ・Ａ,61,18.15
西武新宿線 中井駅 2階建 築8年,8,18.94
プチハイツYT,37,17.0
俳優座ビル,45,23.0
東京メトロ丸ノ内線 新大塚駅 3階建 築5年,5,39.23
東京メトロ有楽町線 江戸川橋駅 3階建 築6年,6,35.71
西武新宿線 中井駅 2階建 築8年,8,18.94
東京メトロ丸ノ内線 新大塚駅 3階建 築5年,5,39.23
プレーリー麻布,41,22.7
プチハイツYT,37,17.0
東京メトロ有楽町線 江戸川橋駅 3階建 築6年,6,35.71
東京メトロ半蔵門線 神保町駅 9階建 築9年,9,56.4
プライムブリス文京春日,4,30.03
AlphaPrime文京音羽North,6,35.71
ＢＥＬＩＳＴＡ文京関口（ベリスタ）,15,41.27
サンハイム西落合,39,17.22
都営大江戸線 落合南長崎駅 4階建 築40年,40,17.22
カサビアンカ松涛,44,21.6
ＣＲＯＳＳ小日向,15,88.76
ソルナクレイシア大塚,4,40.36
飯田橋ハイタウン,47,20.8
四谷若葉,49,17.0
八木コーポ,48,12.0
小田急線 参宮橋駅 2階建 新築,0,89.02
ＪＲ山手線 田町駅 9階建 築7年,7,26.08
ＪＲ中央線 大久保駅 4階建 築35年,35,21.6
EXAM小石川,8,39.77
ＪＲ中央線 水道橋駅 5階建 築7年,7,30.03
ＪＲ中央線 水道橋駅 5階建 築7年,7,30.03
東京メトロ南北線 麻布十番駅 5階建 築41年,41,21.7
エクセレント東日本橋リバーサイド,25,68.25
小田急線 代々木上原駅 2階建 築55年,55,18.45
アパートメント・ザ・オハラ,53,21.27
Ｍ １,33,19.0
フローラル下落合,37,15.79
Ｊヒルズ,36,56.4
東京メトロ丸ノ内線 西新宿駅 11階建 築40年,40,15.93
東京メトロ有楽町線 江戸川橋駅 地下1地上8階建 築8年,8,48.24
上田ビル,48,13.0
ファベル文京千石,3,38.16
新宿セブン２フラット,56,22.0
ＪＲ山手線 田町駅 9階建 築7年,7,26.08
東京メトロ南北線 麻布十番駅 5階建 築41年,41,21.7
東京メトロ千代田線 千駄木駅 3階建 築1年,1,36.42
ジェイズコート文京千駄木,0,38.92
J´sコート文京千駄木,0,38.92
都営新宿線 曙橋駅 4階建 築52年,52,18.0
アパートメント・ザ・オハラ,53,21.27
コーポノザワ,52,21.36
アジュールテラス日本橋浜町,5,47.3
戸塚ハイム,42,20.88
ＨＪ　ＰＬＡＣＥ　護国寺Ａ,0,11.37
グランレスト文京茗荷谷,3,49.54
京王新線 幡ヶ谷駅 5階建 築42年,42,17.2
ハイツ６６９号館,42,17.2
東京メトロ日比谷線 人形町駅 10階建 築2年,2,60.4
ＬａＳａｎｔｅ　千駄木,17,24.63
都営大江戸線 牛込柳町駅 地下1地上4階建 築39年,39,15.27
カナディアンハイツ新宿,38,18.0
シティコート神楽坂,34,16.1
ベルメゾン文京白山,21,77.33
シーズンフラッツ日本橋人形町PREMIEA,0,45.09
東京メトロ有楽町線 江戸川橋駅 5階建 築2年,2,47.05
ＴＯＰ新大久保第２,38,11.01
赤坂桧町レジデンス,55,36.36
呉本邸,35,17.0
ＪＲ山手線 田町駅 9階建 築7年,7,26.08
東京メトロ東西線 神楽坂駅 地下1地上6階建 築33年,33,18.36
サンセゾン若松町,41,18.2
東京メトロ南北線 麻布十番駅 5階建 築41年,41,21.7
宮沢ハイツ,41,19.3
サンクタス文京大塚ボゥテラス,15,35.59
都営三田線 春日駅 8階建 築3年,3,42.18
小田急線 参宮橋駅 3階建 築3年,3,250.22
アパートメント・ザ・オハラ,53,21.27
陽輪台西新宿,41,23.51
カーサグランデ日本橋小網町,7,49.6
シーアイマンション本郷向丘,31,53.47
東京メトロ日比谷線 恵比寿駅 6階建 築19年,19,29.03
都営三田線 白山駅 8階建 築25年,25,87.24
赤坂桧町レジデンス,55,36.36
〇霞町五番館,60,23.0
サンライズ吉巳1号館,56,23.5
メゾンITO,37,18.0
東京メトロ東西線 神楽坂駅 2階建 築34年,34,14.0
Y.Sハイツ,22,40.0
渋谷区神山町2,22,312.66
ウッド元町,40,18.64
ブリス神楽坂,36,14.3
四番町テラス,27,108.85
西新宿第２ローヤルコーポ,41,13.02
都営三田線 白山駅 3階建 築34年,34,81.0
轡田ビル,44,25.0
京王線 笹塚駅 3階建 築23年,23,99.7
東京メトロ東西線 高田馬場駅 9階建 築33年,33,33.76
クレインヒル早稲田,44,23.09
渋谷区神山町2,22,312.66
東京メトロ東西線 神楽坂駅 2階建 築34年,34,14.0
Y.Sハイツ,22,40.0
ウッド元町,40,18.64
ブリス神楽坂,36,14.3
西新宿第２ローヤルコーポ,41,13.02
京王線 笹塚駅 3階建 築23年,23,99.7
都営三田線 白山駅 3階建 築34年,34,81.0
東京メトロ東西線 高田馬場駅 9階建 築33年,33,33.76
恵比寿南2丁目ハウス,19,118.4
クレインヒル早稲田,44,23.09
りんかい線 天王洲アイル駅 地下2地上42階建 築18年,18,93.08
ＴＲＵＳＴ　ＶＡＬＵＥ　西新宿,49,25.0
SAKURAI HOUSE C棟,45,222.09
エクセレントシティ文京小桜,17,51.0
東京メトロ日比谷線 六本木駅 地下1地上10階建 築54年,54,13.8
東京メトロ日比谷線 広尾駅 4階建 築41年,41,13.6
東京メトロ日比谷線 広尾駅 4階建 築41年,41,13.4
都営大江戸線 勝どき駅 地下1地上26階建 築27年,27,69.04
吉川ハウス,36,15.6
六本木ヒルズレジデンス　C棟,22,78.26
矢口コーポ,49,28.0
都営大江戸線 牛込柳町駅 3階建 築25年,25,17.25
UPPER FIELD WOOD,7,40.47
コーポ夏目坂,43,17.17
都営大江戸線 牛込柳町駅 4階建 築44年,44,17.15
東京メトロ丸ノ内線 西新宿駅 4階建 築46年,46,26.74
アビタシオン西新宿,46,26.74
プランタニエール,32,21.85
京王線 笹塚駅 3階建 築6年,6,93.78
笹塚1丁目戸建て,6,93.78
りんかい線 天王洲アイル駅 地下2地上42階建 築18年,18,93.08
SAKURAI HOUSE C棟,45,222.09
東京メトロ丸ノ内線 後楽園駅 12階建 築26年,26,65.18
ＣＡＳＡ　ＥＳＴ　ＣＯＲＴＡ,7,44.24
東京メトロ千代田線 湯島駅 12階建 築7年,7,44.24
東京メトロ日比谷線 六本木駅 地下1地上10階建 築54年,54,13.8
東京メトロ日比谷線 広尾駅 4階建 築41年,41,13.6
東京メトロ日比谷線 広尾駅 4階建 築41年,41,13.4
プレミスト日本橋浜町公園,8,68.06
ＡＳＯＭＥＩＫ関口,3,55.84
GrandStory千駄ヶ谷,36,134.58
シャトレ広尾,36,26.8
京王新線 初台駅 3階建 築31年,31,25.12
六本木ヒルズレジデンス　C棟,22,78.26
ヴェラハイツ新宿御苑,47,21.03
ガーデンハウス代々木,27,203.15
都営三田線 春日駅 15階建 築1年,1,41.16
都営大江戸線 西新宿五丁目駅 4階建 築49年,49,25.0
ＪＲ山手線 新大久保駅 3階建 築43年,43,32.0
コーポ福田Ｂ,48,16.72
小田急線 代々木八幡駅 地下1地上3階建 築4年,4,91.34
アインス文京,0,25.49
和田ビル,33,17.0
東京メトロ副都心線 新宿三丁目駅 地下1地上10階建 築49年,49,22.0
ニューライフ新宿,49,22.0
メゾン横井,37,19.8
白金ファイブ,35,18.5
フラッツボタニカルガーデン,30,78.66
ＪＲ総武線快速 馬喰町駅 13階建 築4年,4,47.97
小田急線 代々木八幡駅 3階建 築3年,3,250.22
ワールドシティタワーズキャピタルタワー,19,93.08
東京メトロ南北線 本駒込駅 3階建 築6年,6,102.04
和田ビル,33,17.0
東京メトロ副都心線 新宿三丁目駅 地下1地上10階建 築49年,49,22.0
ニューライフ新宿,49,22.0
メゾン横井,37,19.8
小石川ハウス,57,83.71
パラッシオ本駒込,30,54.81
東京メトロ丸ノ内線 茗荷谷駅 5階建 築7年,7,31.62
西武新宿線 下落合駅 2階建 築60年,60,15.53
ヒューゲル本郷,4,43.24
西武新宿線 下落合駅 10階建 築37年,37,22.96
Seiga,4,54.62
高田馬場ヒルサイドパレス,46,32.03
東京メトロ日比谷線 人形町駅 10階建 築6年,6,40.57
都営大江戸線 落合南長崎駅 3階建 築34年,34,29.7
Ｆｅｌｉｃｅ　Ｐｒｅｎｄｒｅ,4,53.87
ＪＲ山手線 高田馬場駅 5階建 築38年,38,19.23
Ｙ・Ｄ・Ｉハウス,55,11.18
アネックス・Ｆ,31,21.2
都営大江戸線 落合南長崎駅 5階建 築38年,38,20.4
東京メトロ半蔵門線 水天宮前駅 地下1地上11階建 築20年,20,68.66
ブルームオアシス,0,42.98
都営大江戸線 落合南長崎駅 4階建 築36年,36,14.6
アレーロ湯島ノース,7,43.82
東京メトロ日比谷線 八丁堀駅 地下1地上12階建 築20年,20,53.22
Ｔａｃｈｉｂａｎａ　ｉｎｎ,43,14.5
東京メトロ東西線 飯田橋駅 地下2地上14階建 築25年,25,56.08
四ッ谷ＡＳＴＹ,35,46.42
広尾アパートメント,36,66.6
東京メトロ日比谷線 広尾駅 3階建 築36年,36,66.6
東京メトロ東西線 飯田橋駅 地下2地上14階建 築25年,25,56.08
東京メトロ日比谷線 八丁堀駅 地下1地上12階建 築20年,20,53.22
グランヴィスタ神田練塀町,6,104.36
シティインデックス山手動坂,3,47.33
都営三田線 白山駅 6階建 築48年,48,44.08
シャトレー白山,48,44.08
広尾ハウス,9,195.64
広尾ハウス　広尾の戸建,9,194.91
都営大江戸線 本郷三丁目駅 14階建 築26年,26,61.92
パークリュクス小石川,16,40.06
都営大江戸線 春日駅 14階建 築16年,16,40.06
第二富士川ビル,51,24.01
源流院ビル,36,142.6
都営浅草線 大門駅 地下1地上8階建 築36年,36,142.6
MiraCras,3,58.79
美鈴コーポ,60,15.53
御田八幡ビル,42,41.38
YSKIIIマンション,24,21.92
ファミリア　デ　ヒラ,59,12.25
オハナ,5,39.23
東京メトロ有楽町線 新富町駅 13階建 築3年,3,25.02
TRUST VALUE北新宿,56,19.38
内山ハイツ,37,15.8
パークハウス・ジオ六番町,24,105.49
代々木グランドハイツ,59,27.91
東京メトロ千代田線 代々木公園駅 8階建 築59年,59,27.91
Log文京SENDAGI,9,59.84
都営大江戸線 勝どき駅 52階建 築10年,10,44.67
サンライズアパートメント,51,20.6
ドミールM,37,17.7
都営大江戸線 勝どき駅 52階建 築10年,10,44.67
都営大江戸線 勝どき駅 地下1地上52階建 築10年,10,44.67
シティハウス文京目白台,20,47.23
東京メトロ丸ノ内線 新宿御苑前駅 9階建 築53年,53,54.9
大野アパート,59,13.0
ライオンズスクエア小石川後楽園,22,80.13
松本マンション,53,24.75
三園ビル,54,14.76
都営大江戸線 青山一丁目駅 7階建 築61年,61,95.4
鈴木園ビル,44,61.75
都営三田線 白金台駅 4階建 築36年,36,193.38
レジディア御茶ノ水,20,44.08
東京メトロ千代田線 赤坂駅 8階建 築42年,42,21.33
中銀第二八丁堀マンシオン,40,57.75
多賀井ハイツ,45,52.8
東京メトロ有楽町線 江戸川橋駅 11階建 築25年,25,63.27
オープンレジデンシア日本橋水天宮,11,56.84
東京メトロ半蔵門線 水天宮前駅 11階建 築11年,11,56.84
プラウド銀座東レジデンス,7,71.72
東京メトロ丸ノ内線 後楽園駅 6階建 築1年,1,53.8
サンウッド文京千駄木フラッツ,20,54.77
東都赤坂コーポニ,52,26.0
東京メトロ丸ノ内線 茗荷谷駅 9階建 築27年,27,52.28
東京メトロ丸ノ内線 新大塚駅 3階建 新築,0,37.78
ル・クール西落合,32,20.46
都営大江戸線 月島駅 8階建 築10年,10,59.21
エスペロビル,49,37.9
小石川３丁目　貸家,14,91.98
ル・クール西落合,32,20.46
西原１丁目戸建,49,101.18
エスペロビル,49,37.9
赤坂パークハウス,55,187.34
都営大江戸線 牛込神楽坂駅 2階建 築65年,65,13.0
メイゾン落合,58,25.24
クレストコート文京湯島,6,26.52
アーバンコア鹿野,39,19.6
ｃ－ＭＡ２　元麻布,21,72.09
クロスレジデンス日本橋浜町,4,25.39
都営新宿線 浜町駅 10階建 築4年,4,48.94
ハウスハセガワ,40,16.3
Grace Villa 御茶ノ水,13,40.08
東京メトロ有楽町線 麹町駅 地下1地上8階建 築30年,30,165.43
オープンレジデンシア千駄木フロントコート,4,35.5
東京メトロ副都心線 明治神宮前駅 3階建 築12年,12,167.73
大和郷住宅　再契約相談,19,78.0
クレシェンテ月島,10,59.67
東京メトロ南北線 東大前駅 3階建 築35年,35,93.25
誠之小学区　2LDK,35,93.25
東京メトロ日比谷線 広尾駅 地下1地上3階建 築11年,11,71.68
東京メトロ千代田線 千駄木駅 14階建 築20年,20,54.77
グレイス四谷,41,13.77
都営浅草線 高輪台駅 9階建 築49年,49,58.32
ドゥーエ月島II,5,40.04
ウィルローズ小伝馬町,11,56.14
都営三田線 水道橋駅 16階建 築55年,55,83.79
東京メトロ丸ノ内線 新宿御苑前駅 11階建 築49年,49,28.86
オリエント新宿,49,28.86
サンライズビル（住居）,33,15.57
都営三田線 水道橋駅 16階建 築55年,55,83.79
麻布ブラザーズアネックス,40,40.5
ドゥーエ月島II,5,40.04
シティハイムオーク,35,23.5
シティハウス本郷三丁目,13,42.29
白山貸家,69,75.34
東都マンション赤坂,57,28.43
東京メトロ日比谷線 人形町駅 12階建 築6年,6,50.82
東急東横線 代官山駅 地下1地上8階建 築19年,19,45.13
プレジール三番町,26,63.29
ヨシノハウス,61,40.0
東京メトロ南北線 東大前駅 地下1地上3階建 築36年,36,111.3
東京メトロ丸ノ内線 茗荷谷駅 地下1地上7階建 築15年,15,26.18
レジディア文京湯島III,17,40.02
ＪＲ総武線 御茶ノ水駅 12階建 築17年,17,40.02
ウィルローズ日本橋水天宮,12,56.85
ＪＲ山手線 高田馬場駅 2階建 築49年,49,27.3
カスタリア東日本橋,19,58.41
ＹＳレジデンス,7,66.54
東京メトロ有楽町線 江戸川橋駅 10階建 築6年,6,40.46
イーストハイム,29,17.5
パークホームズ日本橋浜町二丁目ローレルアイ,14,54.95
リブリ・グラン関口,9,52.56
パティオ音羽A棟 ★新規フルリノベーション,44,80.08
パークホームズ築地グリーンサイド,10,53.95
都営大江戸線 月島駅 地下1地上12階建 築10年,10,66.15
矢来町マンション,57,19.14
レジディア文京小石川,7,40.11
ＪＲ山手線 駒込駅 10階建 築39年,39,49.88
都営大江戸線 春日駅 5階建 築44年,44,40.0
ヨシノハウス,61,40.0
東京メトロ千代田線 代々木公園駅 地下1地上4階建 築6年,6,65.06
勝どき瀧田邸,26,53.2
コスモシティ市ヶ谷,38,19.8
シティハウス目白,35,21.0
藤和新宿御苑コープ２,42,28.08
東京メトロ丸ノ内線 新宿御苑前駅 地下1地上10階建 築42年,42,28.08
都営大江戸線 本郷三丁目駅 5階建 築2年,2,41.36
ウェリスタワー千代田岩本町,12,55.4
東京メトロ有楽町線 江戸川橋駅 3階建 築11年,11,38.96
ＪＲ山手線 目白駅 2階建 築31年,31,21.2
プリンズハウス,69,15.0
東京メトロ副都心線 西早稲田駅 2階建 築69年,69,15.0
都営新宿線 浜町駅 5階建 築7年,7,50.7
スターフォレスト 【当店限定物件】,5,43.37
京王新線 初台駅 3階建 築5年,5,43.37
ジオ千代田大手町,6,55.07
ネオマイム本郷,27,39.86
上原戸建,20,329.43
東京メトロ日比谷線 築地駅 12階建 築10年,10,53.95
東京メトロ丸ノ内線 茗荷谷駅 3階建 築9年,9,35.17
インペリアル南麻布コートアンドサテライト,30,17.93
コンフォリア本駒込,20,63.13
ウヴラージュ白山,24,53.57
小松ビル,52,22.4
都営三田線 千石駅 10階建 築6年,6,39.35
レオパレス幡ヶ谷II,40,16.0
プレミスト月島,4,40.47
スカイコート新宿新都心,26,19.71
コーポ勝美,36,13.22
東京メトロ半蔵門線 半蔵門駅 3階建 築37年,37,92.16
スカイコート新宿新都心,26,19.71
コーポ勝美,36,13.22
ＪＲ山手線 高田馬場駅 2階建 築42年,42,15.0
東京メトロ丸ノ内線 本郷三丁目駅 地下1地上7階建 築11年,11,70.0
神楽坂ルーチェ,50,19.63
プラウド参宮橋,0,125.37
小田急線 参宮橋駅 地下2地上4階建 新築,0,125.37
東京メトロ有楽町線 月島駅 5階建 築8年,8,40.33
アクシルコート御茶の水,25,37.44
Ｗｉｓｔｅｒｉａ本郷,1,40.02
トレステージ四谷,16,31.51
シェアハウスＩＯＲＩ,45,7.4
都営大江戸線 西新宿五丁目駅 13階建 築14年,14,62.4
西武新宿線 中井駅 2階建 築47年,47,19.0
千駄木5丁目ハウス,38,142.68
東京メトロ南北線 本駒込駅 4階建 築38年,38,142.68
ＭＹＥ新宿御苑,54,18.6
東京メトロ東西線 早稲田駅 12階建 築18年,18,39.01
大野ハイツ,50,28.13
仮称）西原２丁目ヘーベルメゾン,0,44.24
メゾンヨーラク,47,30.56
Ark Yoyogi　アークヨヨギ,6,54.04
プレシス文京江戸川橋,8,30.01
みどり荘,69,13.0
パークオヴェスト西新宿,0,48.7
東京メトロ南北線 後楽園駅 15階建 築19年,19,50.45
クレストシティレジデンス,18,64.94
Log新川,8,55.12
東京メトロ日比谷線 広尾駅 8階建 築30年,30,20.76
東京メトロ南北線 後楽園駅 15階建 築19年,19,50.45
Log新川,8,55.12
都営大江戸線 西新宿五丁目駅 3階建 新築,0,66.72
ドマーニ　西新宿,0,66.72
コモドスクウェア北新宿,37,20.37
東京メトロ有楽町線 江戸川橋駅 地下1地上12階建 築35年,35,28.37
都営新宿線 浜町駅 10階建 築5年,5,47.3
都営三田線 春日駅 3階建 築13年,13,32.98
セレナハイム小石川西館,26,72.57
都営三田線 千石駅 地下1地上5階建 築6年,6,63.47
東京メトロ丸ノ内線 新宿御苑前駅 5階建 築51年,51,24.01
メゾンF,37,23.0
ＪＲ山手線 神田駅 13階建 築21年,21,55.4
東京メトロ日比谷線 六本木駅 地下1地上9階建 築52年,52,21.0
東京メトロ南北線 市ケ谷駅 12階建 築13年,13,25.94
信濃町II番館 205,20,27.84
フェリシア代々木公園,0,23.0
小田急線 参宮橋駅 3階建 新築,0,23.0
ライオンズフォーシア中央MINATO,3,42.19
ガーデニア小石川,5,40.74
築地スカイレジテル,45,58.48
西野メゾネット,36,119.0
東京メトロ丸ノ内線 茗荷谷駅 14階建 築6年,6,45.8
東京メトロ南北線 東大前駅 13階建 築3年,3,25.43
ＪＲ中央線 東中野駅 4階建 築39年,39,24.28
小田急目白台マンション,54,110.51
東京メトロ副都心線 雑司が谷駅 12階建 築54年,54,110.51
ガラ・シティ白金台,27,19.2
HOUSE TAKANAWA,39,222.09
東京メトロ有楽町線 江戸川橋駅 2階建 築28年,28,84.31
白金台２丁目戸建,12,147.0
Dimus大手町North　【ディームス大手町ノース】,5,27.02
ハーモニーレジデンス秋葉原,9,40.34
東京メトロ有楽町線 江戸川橋駅 2階建 築28年,28,84.31
ルネサンス九段下　ザ・レジデンス,12,32.15
目白台３丁目カシヤ,29,48.37
神田渡辺ビル,37,155.69
神楽坂マンション,63,46.28
第一後藤ビル,51,21.5
東京メトロ日比谷線 広尾駅 14階建 築14年,14,48.16
東京メトロ半蔵門線 九段下駅 地下3地上15階建 築21年,21,156.81
東京メトロ東西線 九段下駅 地下2地上17階建 築21年,21,156.81
京王線 笹塚駅 9階建 築25年,25,75.85
東京メトロ日比谷線 八丁堀駅 13階建 築5年,5,48.29
アスコットパーク東日本橋,14,56.3
都営浅草線 東日本橋駅 12階建 築14年,14,56.3
都営大江戸線 牛込神楽坂駅 5階建 築17年,17,139.88
レジディア市谷砂土原　N,17,191.2
都営大江戸線 牛込神楽坂駅 5階建 築17年,17,191.2
ディアナコート文京本郷台,8,35.06
CROSS RESIDENCE日本橋浜町【クロスレジデンス日本橋浜町】,4,48.94
リラコート,15,38.09
アイガーデン月島,3,50.01
オープンレジデンシア小石川５丁目,8,33.76
都営大江戸線 飯田橋駅 6階建 築17年,17,40.08
ミモザ・ガーデン,37,61.4
山京パレス中落合,53,25.87
東京メトロ東西線 早稲田駅 7階建 築43年,43,16.73
西武池袋線 椎名町駅 2階建 築39年,39,19.9
ＪＲ京浜東北線 秋葉原駅 4階建 築11年,11,33.44
東京メトロ丸ノ内線 中野坂上駅 4階建 築56年,56,20.0
シティーコート本山,47,22.03
東京メトロ有楽町線 新富町駅 12階建 築11年,11,58.59
ＮＫハイツ２,34,17.19
プレセダンヒルズ文京本駒込　１００Ｂ,5,40.79
HILLS NANPEIDAI,25,246.21
東京メトロ半蔵門線 九段下駅 地下3地上15階建 築21年,21,156.81
東京メトロ東西線 九段下駅 地下2地上17階建 築21年,21,156.81
ＪＲ山手線 恵比寿駅 10階建 築9年,9,54.04
ユニコーンバリー恵比寿,9,54.04
柳町マンション,58,19.98
勝村ビル,46,15.6
東京メトロ有楽町線 江戸川橋駅 12階建 築19年,19,66.87
（仮称）上原１丁目戸建て　Ａ棟,0,78.34
ルーミエ代々木上原,0,78.34
ウェルスクエアイズム文京千石,5,40.34
都営三田線 千石駅 4階建 築5年,5,40.34
ＪＲ山手線 恵比寿駅 5階建 築50年,50,24.75
東京メトロ丸ノ内線 後楽園駅 地下1地上15階建 築5年,5,34.28
東京メトロ有楽町線 江戸川橋駅 6階建 築2年,2,26.22
KDXレジデンス日本橋浜町,20,64.0
ＪＲ山手線 恵比寿駅 3階建 築36年,36,26.8
パークハウスアバンシス,23,62.09
ＪＲ山手線 高田馬場駅 12階建 築56年,56,25.2
ＪＲ京浜東北線 秋葉原駅 4階建 築11年,11,33.44
東京メトロ半蔵門線 半蔵門駅 5階建 築30年,30,51.45
ル・三番町,30,51.45
貸家　千駄木小・ペット飼育可,44,70.0
東京メトロ日比谷線 広尾駅 2階建 築45年,45,30.0
東京メトロ千代田線 湯島駅 10階建 築10年,10,45.31
東京メトロ日比谷線 秋葉原駅 14階建 築8年,8,47.85
ブランズ大手町,6,32.8
パークハウスアバンシス,23,62.09
お茶の水Ｓ．Ｃ．ハウス,21,53.18
ＪＲ山手線 秋葉原駅 11階建 築10年,10,35.65
ＪＲ総武線快速 馬喰町駅 12階建 築5年,5,41.28
Ｌａ　Ｄｏｕｃｅｕｒ東神田,5,41.28
東京メトロ千代田線 湯島駅 10階建 築10年,10,45.31
都営大江戸線 春日駅 13階建 築19年,19,42.32
ＪＲ山手線 神田駅 12階建 築1年,1,31.67
パレステュディオ小石川後楽園,24,19.76
日本橋浜町パーク・ホームズ,27,85.5
PEAKS神田,8,25.18
東京メトロ半蔵門線 半蔵門駅 17階建 新築,0,83.4
都営三田線 白金高輪駅 地下1地上45階建 築3年,3,77.39
東京メトロ丸ノ内線 四谷三丁目駅 1階建 築6年,6,20.29
ハウスドン,44,26.5
東京メトロ丸ノ内線 茗荷谷駅 10階建 築7年,7,46.22
オーパスレジデンス日本橋イースト,5,57.12
小田急線 参宮橋駅 2階建 築2年,2,58.59
都営新宿線 浜町駅 10階建 築20年,20,64.0
都営大江戸線 春日駅 地下2地上21階建 築4年,4,64.37
晴海アイランドトリトンスクエアビュータワー,27,69.86
ミア・カーザ,45,30.0
朝日千駄木マンション,45,52.48
東京メトロ千代田線 千駄木駅 10階建 築45年,45,52.48
東京メトロ東西線 九段下駅 地下2地上17階建 築21年,21,146.31
ＨＪ　ＰＬＡＣＥ　護国寺Ｂ,0,20.78
クレジデンス東銀座,20,62.48
東京メトロ日比谷線 築地駅 地下1地上13階建 築20年,20,62.48
東京メトロ半蔵門線 半蔵門駅 17階建 新築,0,83.4
リビオレゾン月島ステーションプレミア,5,45.06
JLBグランエクリュ月島,9,40.26
東京メトロ有楽町線 月島駅 3階建 築9年,9,40.26
都営三田線 白金高輪駅 地下1地上45階建 築3年,3,77.39
可染館,13,28.5
都営三田線 白山駅 8階建 築8年,8,25.51
千駄木小学校区3LDK戸建て,61,84.28
ＪＲ山手線 巣鴨駅 5階建 築1年,1,35.61
都営新宿線 曙橋駅 地下1地上3階建 築37年,37,196.19
ラ・トゥール飯田橋,15,44.22
ミア・カーザ,45,30.0
ＪＲ山手線 新宿駅 11階建 築46年,46,15.1
東京メトロ東西線 九段下駅 地下2地上17階建 築21年,21,146.31
ブエナビスタ,28,52.99
東京メトロ千代田線 根津駅 地下1地上14階建 築24年,24,50.29
セレニティー原宿,7,48.02
ラ・ドゥセール東神田,1,41.28
ＪＲ総武線快速 馬喰町駅 12階建 築1年,1,41.28
東京メトロ日比谷線 八丁堀駅 12階建 築5年,5,58.21
上原古民家ハウス,20,329.43
ＪＲ山手線 新大久保駅 3階建 築35年,35,11.35
ブランズ代々木西参道,15,56.18
三田　ＳＫ　Ｒｅｓｉｄｅｎｃｅ,0,31.63
クレストコート渋谷笹塚,1,46.98
都営浅草線 高輪台駅 3階建 築1年,1,116.0
東京メトロ有楽町線 江戸川橋駅 13階建 築15年,15,41.27
高輪１丁目戸建て,29,102.53
東京メトロ南北線 白金高輪駅 地下1地上3階建 築29年,29,102.53
プラウド日本橋大伝馬町,12,56.14
ＪＲ山手線 新大久保駅 3階建 築35年,35,11.35
都営大江戸線 代々木駅 3階建 築11年,11,43.52
京王線 笹塚駅 3階建 新築,0,41.64
東京メトロ日比谷線 八丁堀駅 12階建 築5年,5,58.21
東京メトロ有楽町線 江戸川橋駅 13階建 築15年,15,41.27
彩桜春庵　IROHA　AN,9,87.54
フォレスト初台,23,52.46
ＨＯＮＧＯＵ桜ビル,34,46.49
ＪＲ山手線 駒込駅 12階建 築36年,36,64.39
プラウド日本橋大伝馬町,12,56.14
都営新宿線 岩本町駅 7階建 築15年,15,42.15
ルネス ボストーク,15,42.15
京王線 笹塚駅 3階建 築2年,2,56.0
パークハウス本郷三丁目アーバンス,18,42.59
ナビウスプレリア東日本橋,21,58.4
東京メトロ南北線 飯田橋駅 地下3地上34階建 築15年,15,44.22
【2/7退去予定】イニシア築地レジデンス,4,74.79
ＮＩＣＥアーバン千駄木,29,40.94
ｅハウス,46,22.0
アミューズハウス,42,31.2
市ヶ谷スクエアレジデンス,21,58.33
ハイグレース北新宿,20,18.1
ＪＲ山手線 新宿駅 3階建 築20年,20,18.1
パティオ音羽B棟　★新規フルリノベーション,44,80.08
東京メトロ丸ノ内線 淡路町駅 地下1地上19階建 築15年,15,51.54
