物件名,築年数,専有面積
カーサスプレンディッド恵比寿1丁目アネックス,5,39.17
ヴェルデ幡ヶ谷,15,20.39
ザ・パークハウスアーバンス渋谷,5,31.22
レジディア広尾南,18,39.03
パークアクシス幡ヶ谷,17,45.3
レジディア文京湯島II,21,19.67
元代々木ｆｌａｔ,9,25.6
東京メトロ千代田線 根津駅 4階建 築24年,24,21.8
GRANPASEO麻布十番　グランパセオ麻布十番,4,27.14
ＪＲ山手線 浜松町駅 地下1地上25階建 築17年,17,40.36
ジェイパーク三田,28,56.62
MALULANI千駄ヶ谷,10,26.96
トーシンフェニックス日本橋蛎殻町,23,19.98
マイコート代々木,16,20.12
東京メトロ日比谷線 築地駅 11階建 築21年,21,23.84
芝公園アパートメント,26,37.37
ALERO参宮橋,9,15.25
ル・リオン渋谷本町,13,21.43
東京メトロ日比谷線 築地駅 11階建 築21年,21,23.84
ル・リオン渋谷本町,13,21.43
ＪＲ総武線 御茶ノ水駅 4階建 築20年,20,24.12
白金高輪レジデンス,17,25.5
アプレシティ本駒込,19,21.44
ＪＲ山手線 駒込駅 7階建 築19年,19,21.44
ロイヤルパークス品川,0,40.02
プライムメゾン恵比寿,11,25.26
ステージグランデ日本橋人形町,3,25.47
プレール・ドゥーク文京白山,22,28.81
日神デュオステージ小石川,22,30.19
珊瑚NEXT,9,28.6
ＲＩＳＩＮＧ　ＳＵＮ　恵比寿二丁目,10,42.58
カーサスプレンディッド恵比寿1丁目,6,38.46
東京メトロ有楽町線 新富町駅 14階建 築21年,21,27.29
プレール神田佐久間町,24,20.08
パークアクシス六本木檜町公園,20,35.62
向山パーク5,20,22.96
SILVERADO CROSSINGS,0,22.0
エスティメゾン東新宿,16,37.41
グランヴァンデュヴェール東京,17,21.43
ＪＲ山手線 神田駅 13階建 築10年,10,25.86
パークキューブ笹塚,16,20.09
神宮前五丁目ブランシェ,23,77.0
ザスカイ日本橋浜町,2,11.19
アーバネックス西新宿II,4,25.34
KDXレジデンス神田,10,25.86
エルスタンザ恵比寿,9,29.2
東京メトロ日比谷線 恵比寿駅 14階建 築9年,9,29.2
プレミアステージ湯島,19,33.51
ＪＲ山手線 神田駅 13階建 築10年,10,25.86
アルカンシェル,22,25.0
グランテール代々木,11,25.39
コリーヌ代官山,30,43.17
大久保2丁目貸家,4,84.73
プライマル小石川　～PRIMAL KOISHIKAWA～,19,25.05
KDXレジデンス神田,10,25.86
東京メトロ有楽町線 江戸川橋駅 地下1地上7階建 築10年,10,20.72
パインステージ白金高輪,0,37.44
アルトヴィラ虎ノ門,0,37.9
ライフピア目白台II,22,12.68
パークアクシス日本橋茅場町,7,26.56
パークアクシス八丁堀,16,24.71
ＪＲ山手線 秋葉原駅 14階建 築5年,5,25.42
PENNY　LANE早稲田,10,32.71
TCRE早稲田,18,14.38
サンリード,14,22.96
ＪＲ山手線 駒込駅 3階建 築14年,14,22.96
グランスイート四谷プレシア,12,56.87
ルーブル笹塚弐番館,22,20.25
ガラ・ステージ京橋,25,21.2
シティハイツ新大塚,35,16.68
飯田マンション,53,19.44
プラウドフラット代々木上原,20,21.25
神楽坂Ｃｉｅｌ,2,39.06
ルネサンスコート千駄ヶ谷NORTH,5,13.6
ルネサンスコート千駄ヶ谷SOUTH,5,12.68
東京メトロ東西線 高田馬場駅 14階建 築2年,2,27.43
クロスレジデンス高田馬場,0,27.43
ダイナシティ市谷仲之町,18,25.41
ＪＲ中央線 大久保駅 7階建 築2年,2,28.27
パークコート虎ノ門,4,44.26
ＰＲＩＭＥ　ＵＲＢＡＮ　東中野　ＣＯＵＲＴ,16,26.31
デュオ・スカーラ渋谷,23,24.81
東京メトロ南北線 本駒込駅 3階建 築42年,42,20.53
都営新宿線 浜町駅 15階建 築7年,7,38.61
グラヴィティーシュタイン神楽坂,12,42.42
マルベリーラグーン勝どき,22,20.59
ラクラス幡ヶ谷,12,22.62
MODULOR笹塚,19,20.89
